shlok_number,shlok_text
1,1 ੧ਓ ਸਿਤ ਨਾਮੁ ਕਰਤਾ ਪੁਰਖੁ ਿਨਰਭਉ ਿਨਰਵੈਰੁ ਅਕਾਲ ਮੂਰਿਤ ਅਜੂਨੀ ਸੈਭੰ ਗੁ ਰ ਪਰ੍ਸਾਿਦ ॥
2,ਜਪੁ ॥
3,ਆਿਦ ਸਚ ੁ ਜੁਗਾਿਦ ਸਚ ੁ ॥
4,ਹੈ ਭੀ ਸਚ ੁਨਾਨਕ ਹਸੋ ੀ ਭੀ ਸਚ ੁ ॥
5,੧ ॥
6,ਸੋਚੈ ਸੋਿਚ ਨ ਹੋਵਈ ਜੇ ਸੋਚੀ ਲਖ ਵਾਰ ॥
7,ਚਪੁ ੈ ਚਪੁ ਨ ਹੋਵਈ ਜੇ ਲਾਇ ਰਹਾ ਿਲਵ ਤਾਰ ॥
8,ਭੁਿਖਆ ਭੁਖ ਨ ਉਤਰੀ ਜੇ ਬਨੰ ਾ ਪੁਰੀਆ ਭਾਰ ॥
9,ਸਹਸ ਿਸਆਣਪਾ ਲਖ ਹੋਿਹ ਤ ਇਕ ਨ ਚਲੈ ਨਾਿਲ ॥
10,ਿਕਵ ਸਿਚਆਰਾ ਹੋਈਐ ਿਕਵ ਕੂੜੈ ਤੁਟੈ ਪਾਿਲ ॥
11,ਹਕੁ ਿਮ ਰਜਾਈ ਚਲਣਾ ਨਾਨਕ ਿਲਿਖਆ ਨਾਿਲ ॥
12,੧ ॥
13,ਹਕੁ ਮੀ ਹੋਵਿਨ ਆਕਾਰ ਹਕੁ ਮੁ ਨ ਕਿਹਆ ਜਾਈ ॥
14,ਹਕੁ ਮੀ ਹੋਵਿਨ ਜੀਅ ਹਕੁ ਿਮ ਿਮਲੈ ਵਿਡਆਈ ॥
15,ਹਕੁ ਮੀ ਉਤਮੁ ਨੀਚੁ ਹਕੁ ਿਮ ਿਲਿਖ ਦਖੁ ਸੁਖ ਪਾਈਅਿਹ ॥
16,ਇਕਨਾ ਹਕੁ ਮੀ ਬਖਸੀਸ ਇਿਕ ਹਕੁ ਮੀ ਸਦਾ ਭਵਾਈਅਿਹ ॥
17,ਹਕੁ ਮੈ ਅੰਦਿਰ ਸਭੁ ਕੋ ਬਾਹਿਰ ਹਕੁ ਮ ਨ ਕੋਇ ॥
18,ਨਾਨਕ ਹਕੁ ਮੈ ਜੇ ਬੁਝੈ ਤ ਹਉਮੈ ਕਹੈ ਨ ਕੋਇ ॥
19,੨ ॥
20,ਗਾਵੈ ਕੋ ਤਾਣੁ ਹੋਵੈ ਿਕਸੈ ਤਾਣੁ ॥
21,ਗਾਵੈ ਕੋ ਦਾਿਤ ਜਾਣੈ ਨੀਸਾਣੁ ॥
22,ਗਾਵੈ ਕੋ ਗੁਣ ਵਿਡਆਈਆ ਚਾਰ ॥
23,ਗਾਵੈ ਕੋ ਿਵਿਦਆ ਿਵਖਮੁ ਵੀਚਾਰ ੁ ॥
24,ਗਾਵੈ ਕੋ ਸਾਿਜ ਕਰੇ ਤਨੁ ਖੇਹ ॥
25,ਗਾਵੈ ਕੋ ਜੀਅ ਲ ੈ ਿਫਿਰ ਦੇਹ ॥
26,ਗਾਵੈ 2 ਕੋ ਜਾਪੈ ਿਦਸੈ ਦੂਿਰ ॥
27,ਗਾਵੈ ਕੋ ਵੇਖੈ ਹਾਦਰਾ ਹਦੂਿਰ ॥
28,ਕਥਨਾ ਕਥੀ ਨ ਆਵੈ ਤੋਿਟ ॥
29,ਕਿਥ ਕਿਥ ਕਥੀ ਕੋਟੀ ਕਿੋ ਟ ਕਿੋ ਟ ॥
30,ਦਦੇ ਾ ਦੇ ਲੈਦੇ ਥਿਕ ਪਾਿਹ ॥
31,ਜੁਗਾ ਜਗੁ ੰਤਿਰ ਖਾਹੀ ਖਾਿਹ ॥
32,ਹਕੁ ਮੀ ਹਕੁ ਮੁ ਚਲਾਏ ਰਾਹ ੁ ॥
33,ਨਾਨਕ ਿਵਗਸੈ ਵੇਪਰਵਾਹ ੁ ॥
34,੩ ॥
35,ਸਾਚਾ ਸਾਿਹਬੁ ਸਾਚ ੁ ਨਾਇ ਭਾਿਖਆ ਭਾਉ ਅਪਾਰ ੁ ॥
36,ਆਖਿਹ ਮਗੰ ਿਹ ਦਿੇ ਹ ਦਿੇ ਹ ਦਾਿਤ ਕਰੇ ਦਾਤਾਰ ੁ ॥
37,ਫੇਿਰ ਿਕ ਅਗੈ ਰਖੀਐ ਿਜਤੁ ਿਦਸੈ ਦਰਬਾਰ ੁ ॥
38,ਮੁਹੌ ਿਕ ਬਲੋ ਣੁ ਬਲੋ ੀਐ ਿਜਤੁ ਸੁਿਣ ਧਰੇ ਿਪਆਰ ੁ ॥
39,ਅੰਿਮਰ੍ਤ ਵੇਲਾ ਸਚ ੁ ਨਾਉ ਵਿਡਆਈ ਵੀਚਾਰ ੁ ॥
40,ਕਰਮੀ ਆਵੈ ਕਪੜਾ ਨਦਰੀ ਮਖੋ ੁ ਦੁਆਰ ੁ ॥
41,ਨਾਨਕ ਏਵੈ ਜਾਣੀਐ ਸਭੁ ਆਪੇ ਸਿਚਆਰ ੁ ॥
42,੪ ॥
43,ਥਾਿਪਆ ਨ ਜਾਇ ਕੀਤਾ ਨ ਹਇੋ ॥
44,ਆਪੇ ਆਿਪ ਿਨਰੰਜਨੁ ਸਇੋ ॥
45,ਿਜਿਨ ਸੇਿਵਆ ਿਤਿਨ ਪਾਇਆ ਮਾਨੁ ॥
46,ਨਾਨਕ ਗਾਵੀਐ ਗੁਣੀ ਿਨਧਾਨੁ ॥
47,ਗਾਵੀਐ ਸੁਣੀਐ ਮਿਨ ਰਖੀਐ ਭਾਉ ॥
48,ਦਖੁ ੁ ਪਰਹਿਰ ਸੁਖੁ ਘਿਰ ਲ ੈ ਜਾਇ ॥
49,ਗੁਰਮਿੁ ਖ ਨਾਦੰ ਗੁਰਮੁਿਖ ਵੇਦੰ ਗੁਰਮੁਿਖ ਰਿਹਆ ਸਮਾਈ ॥
50,ਗੁਰ ੁ ਈਸਰ ੁ ਗੁਰ ੁ ਗੋਰਖੁ ਬਰਮਾ ਗਰੁ ੁ ਪਾਰਬਤੀ ਮਾਈ ॥
51,ਜੇ ਹਉ ਜਾਣਾ ਆਖਾ ਨਾਹੀ ਕਹਣਾ ਕਥਨੁ ਨ ਜਾਈ ॥
52,ਗੁਰਾ ਇਕ ਦਿੇ ਹ ਬੁਝਾਈ ॥
53,ਸਭਨਾ ਜੀਆ ਕਾ ਇਕੁ ਦਾਤਾ ਸੋ ਮੈ ਿਵਸਿਰ ਨ ਜਾਈ ॥
54,੫ ॥
55,ਤੀਰਿਥ ਨਾਵਾ ਜੇ ਿਤਸੁ ਭਾਵਾ ਿਵਣੁ ਭਾਣੇ ਿਕ ਨਾਇ ਕਰੀ ॥
56,ਜੇਤੀ ਿਸਰਿਠ ਉਪਾਈ ਵੇਖਾ ਿਵਣੁ ਕਰਮਾ ਿਕ ਿਮਲੈ ਲਈ ॥
57,ਮਿਤ ਿਵਿਚ ਰਤਨ ਜਵਾਹਰ ਮਾਿਣਕ ਜੇ ਇਕ ਗੁਰ ਕੀ ਿਸਖ ਸੁਣੀ ॥
58,ਗੁਰਾ ਇਕ ਦੇਿਹ ਬੁਝਾਈ ॥
59,ਸਭਨਾ ਜੀਆ ਕਾ ਇਕੁ ਦਾਤਾ ਸੋ ਮੈ ਿਵਸਿਰ ਨ ਜਾਈ ॥
60,੬ ॥
61,ਜੇ ਜੁਗ ਚਾਰੇ ਆਰਜਾ ਹੋਰ ਦਸੂਣੀ ਹੋਇ ॥
62,ਨਵਾ ਖਡੰ ਾ ਿਵਿਚ ਜਾਣੀਐ ਨਾਿਲ ਚਲੈ ਸਭੁ ਕਇੋ ॥
63,ਚੰਗਾ ਨਾਉ ਰਖਾਇ ਕੈ ਜਸ ੁ ਕੀਰਿਤ ਜਿਗ ਲੇਇ ॥
64,ਜੇ ਿਤਸੁ ਨਦਿਰ ਨ ਆਵਈ ਤ ਵਾਤ ਨ ਪੁਛੈ ਕੇ ॥
65,ਕੀਟਾ ਅੰਦਿਰ ਕੀਟੁ ਕਿਰ ਦੋਸੀ ਦੋਸ ੁ ਧਰੇ ॥
66,ਨਾਨਕ ਿਨਰਗੁਿਣ ਗੁਣੁ ਕਰੇ ਗੁਣਵੰਿਤਆ ਗੁਣੁ ਦੇ ॥
67,ਤੇਹਾ ਕੋਇ ਨ ਸਝੁ ਈ ਿਜ ਿਤਸੁ ਗੁਣੁ ਕਇੋ ਕਰੇ ॥
68,੭ ॥
69,ਸੁਿਣਐ ਿਸਧ ਪੀਰ ਸੁਿਰ ਨਾਥ ॥
70,ਸੁਿਣਐ ਧਰਿਤ ਧਵਲ ਆਕਾਸ ॥
71,ਸਿੁ ਣਐ ਦੀਪ ਲਅੋ ਪਾਤਾਲ ॥
72,ਸੁਿਣਐ ਪਿੋ ਹ ਨ ਸਕੈ ਕਾਲੁ ॥
73,ਨਾਨਕ ਭਗਤਾ ਸਦਾ ਿਵਗਾਸੁ ॥
74,ਸੁਿਣਐ ਦਖੂ ਪਾਪ ਕਾ ਨਾਸੁ ॥
75,੮ ॥
76,ਸੁਿਣਐ ਈਸਰ ੁ ਬਰਮਾ ਇਦੰ ੁ ॥
77,ਸੁਿਣਐ ਮੁਿਖ ਸਾਲਾਹਣ ਮਦੰ ੁ ॥
78,ਸਿੁ ਣਐ ਜਗੋ ਜੁਗਿਤ ਤਿਨ ਭੇਦ ॥
79,ਸੁਿਣਐ ਸਾਸਤ ਿਸਿਮਰ੍ਿਤ ਵੇਦ ॥
80,ਨਾਨਕ ਭਗਤਾ 3 ਸਦਾ ਿਵਗਾਸੁ ॥
81,ਸੁਿਣਐ ਦਖੂ ਪਾਪ ਕਾ ਨਾਸੁ ॥
82,੯ ॥
83,ਸਿੁ ਣਐ ਸਤੁ ਸੰਤੋਖੁ ਿਗਆਨੁ ॥
84,ਸੁਿਣਐ ਅਠਸਿਠ ਕਾ ਇਸਨਾਨੁ ॥
